Model,Model_Type,Threshold_Dollar,AUC_PR,AUC_ROC,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,Specificity,NPV,FPR,FNR,TNR,MCC,Kappa,Brier_Score,Prevalence,Lift,Capture_Rate,Expected_Value,Net_Value,Prob_Mean,Prob_Std,Prob_Entropy,CV_Accuracy_Mean,CV_Accuracy_Std,CV_Precision_Mean,CV_Precision_Std,CV_Recall_Mean,CV_Recall_Std,CV_F1_Mean,CV_F1_Std,CV_AUC_Mean,CV_AUC_Std,Train_Test_Gap,True_Positives,True_Negatives,False_Positives,False_Negatives,Loss,Train_Samples,Test_Samples,Epochs_Trained,Train_Loss,Val_Loss,Train_Accuracy,Val_Accuracy,precision_at_50,threshold_at_50,f1_at_50,precision_at_70,threshold_at_70,f1_at_70,precision_at_80,threshold_at_80,f1_at_80,precision_at_90,threshold_at_90,f1_at_90,precision_at_95,threshold_at_95,f1_at_95,R2_Score,RMSE,MAE,MSE,MAPE,Correlation,Explained_Variance,Max_Error
Will Spend,neural_network,0.01,0.26512379177211015,0.7935828278810777,0.7371601208459214,0.7391493487123397,0.21710526315789475,0.7415730337078652,0.33587786259541985,0.7367256637168141,0.9666182873730044,0.26327433628318586,0.25842696629213485,0.7367256637168141,0.2964367300203642,0.2289661655812958,0.15630484364947497,0.08962739174219536,2.422309284447073,0.7415730337078652,0.0021710526315789477,-0.2611032836516069,0.3075289726257324,0.2842639982700348,0.40786412358283997,0.7935549020767212,0.0,0.21710526315789475,0.0,0.7415730337078652,0.0,0.33587786259541985,0.0,0.7935828278810777,0.0,0.03724932670593262,66,666,238,23,0.5166741609573364,3954,993,59,0.38365504145622253,0.5166741609573364,0.8308042287826538,0.7935549020767212,0.28846153846153844,0.68571126,0.3673469387755102,0.22676579925650558,0.41879982,0.3407821229050279,0.16627634660421545,0.31358546,0.2751937984496124,0.14414414414414414,0.19529556,0.2484472049689441,0.10532837670384139,0.031109085,0.18973214285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Low Spender,neural_network,0.01,0.2688032732971107,0.7796248881376154,0.7401812688821753,0.7256140001988665,0.2135593220338983,0.7078651685393258,0.328125,0.7433628318584071,0.9627507163323782,0.25663716814159293,0.29213483146067415,0.7433628318584071,0.2820567780821133,0.22082590738499164,0.16616273238965884,0.08962739174219536,2.382746143591697,0.7078651685393258,0.002135593220338983,-0.25450157492125397,0.33934667706489563,0.26111239194869995,0.47273963689804077,0.7875126004219055,0.0,0.2135593220338983,0.0,0.7078651685393258,0.0,0.328125,0.0,0.7796248881376154,0.0,0.03292238712310791,63,672,232,26,0.5207715034484863,3954,993,55,0.3846893906593323,0.5207715034484863,0.8204349875450134,0.7875126004219055,0.2830188679245283,0.66076535,0.3629032258064516,0.21379310344827587,0.46220824,0.32717678100263853,0.17317073170731706,0.368142,0.2845691382765531,0.13769363166953527,0.22606178,0.23880597014925373,0.09747706422018348,0.053947218,0.1768990634755463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Medium Spender,neural_network,0.1,0.02988350647632184,0.47799777942264987,0.7814702920443102,0.5581236121391562,0.043478260869565216,0.32142857142857145,0.07659574468085106,0.794818652849741,0.9758269720101781,0.20518134715025907,0.6785714285714286,0.794818652849741,0.04737277420962987,0.02832753885905226,0.028221605539643854,0.028197381671701913,1.5419254658385093,0.32142857142857145,0.004347826086956522,-0.20083352106330254,0.01593705639243126,0.02215411514043808,0.07439345121383667,0.9718025922775269,0.0,0.043478260869565216,0.0,0.32142857142857145,0.0,0.07659574468085106,0.0,0.47799777942264987,0.0,0.02794426679611206,9,767,198,19,0.4197464883327484,3950,993,22,0.0016539761563763022,0.4197464883327484,0.9997468590736389,0.9718025922775269,0.02578268876611418,0.009580385,0.04903677758318739,0.024509803921568627,0.0073802574,0.04739336492890995,0.024830699774266364,0.0068115583,0.04814004376367615,0.027563395810363836,0.006263145,0.053475935828877004,0.027835051546391754,0.0037614682,0.05410821643286573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regression_Baseline,random_forest_regressor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,-0.06874167127705344,1.6926031124176912,0.1498926140581374,2.8649052961660555,455.1571848585934,0.000530451110258962,-0.06866665176407372,49.98873551811834
