Model,Model_Type,Threshold_Dollar,AUC_PR,AUC_ROC,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,Specificity,NPV,FPR,FNR,TNR,MCC,Kappa,Brier_Score,Prevalence,Lift,Capture_Rate,Expected_Value,Net_Value,Prob_Mean,Prob_Std,Prob_Entropy,CV_Accuracy_Mean,CV_Accuracy_Std,CV_Precision_Mean,CV_Precision_Std,CV_Recall_Mean,CV_Recall_Std,CV_F1_Mean,CV_F1_Std,CV_AUC_Mean,CV_AUC_Std,Train_Test_Gap,True_Positives,True_Negatives,False_Positives,False_Negatives,Loss,Train_Samples,Test_Samples,Epochs_Trained,Train_Loss,Val_Loss,Train_Accuracy,Val_Accuracy,precision_at_50,threshold_at_50,f1_at_50,precision_at_70,threshold_at_70,f1_at_70,precision_at_80,threshold_at_80,f1_at_80,precision_at_90,threshold_at_90,f1_at_90,precision_at_95,threshold_at_95,f1_at_95,R2_Score,RMSE,MAE,MSE,MAPE,Correlation,Explained_Variance,Max_Error
Will Spend,neural_network,0.01,0.34737239885575394,0.8294409366610321,0.7341389728096677,0.7476198170428557,0.21864951768488747,0.7640449438202247,0.34,0.7311946902654868,0.969208211143695,0.2688053097345133,0.23595505617977527,0.7311946902654868,0.30501572563597434,0.23311939434007511,0.068613026376147,0.08962739174219536,2.439539000686441,0.7640449438202247,0.0021864951768488746,-0.2666188145576644,0.08983025699853897,0.12017296999692917,0.22786512970924377,0.9103726148605347,0.0,0.21864951768488747,0.0,0.7640449438202247,0.0,0.34,0.0,0.8294409366610321,0.0,0.002445697784423828,68,661,243,21,0.24502302706241608,2317,993,38,0.22164833545684814,0.24502302706241608,0.9128183126449585,0.9103726148605347,0.3879310344827586,0.2783621,0.43902439024390244,0.23461538461538461,0.08971333,0.3495702005730659,0.19109947643979058,0.057986934,0.3099787685774947,0.14594594594594595,0.027962305,0.2515527950310559,0.12336719883889695,0.013222751,0.2185089974293059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Low Spender,neural_network,0.01,0.3403010262540301,0.8383277816446256,0.7643504531722054,0.7692776175797952,0.24381625441696114,0.7752808988764045,0.3709677419354839,0.7632743362831859,0.971830985915493,0.23672566371681417,0.2247191011235955,0.7632743362831859,0.3407901850534453,0.27164270802640567,0.0691121478933516,0.08962739174219536,2.7203319172589038,0.7752808988764045,0.0024381625441696115,-0.23428750117264455,0.09423229098320007,0.1320343315601349,0.22667132318019867,0.9093655347824097,0.0,0.24381625441696114,0.0,0.7752808988764045,0.0,0.3709677419354839,0.0,0.8383277816446256,0.0,0.005179107189178467,69,690,214,20,0.25531259179115295,2317,993,41,0.22900575399398804,0.25531259179115295,0.9145446419715881,0.9093655347824097,0.3409090909090909,0.312629,0.4072398190045249,0.25,0.10568051,0.36795252225519287,0.24381625441696114,0.06701085,0.3709677419354839,0.182648401826484,0.033344194,0.3036053130929791,0.1263001485884101,0.012221288,0.2230971128608924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Medium Spender,neural_network,0.1,0.22341504175199284,0.8960214655810511,0.8056394763343404,0.8479829755736492,0.11627906976744186,0.8928571428571429,0.205761316872428,0.8031088082901554,0.9961439588688946,0.19689119170984457,0.10714285714285714,0.8031088082901554,0.27971878745580864,0.16405026629270825,0.024398513411843646,0.028197381671701913,4.1237541528239205,0.8928571428571429,0.011627906976744186,-0.1852632847331004,0.025242039933800697,0.0595720112323761,0.08197424560785294,0.9687814712524414,0.0,0.11627906976744186,0.0,0.8928571428571429,0.0,0.205761316872428,0.0,0.8960214655810511,0.0,0.004459798336029053,25,775,190,3,0.10144634544849396,2317,993,78,0.08062233775854111,0.10144634544849396,0.9732412695884705,0.9687814712524414,0.18181818181818182,0.10003108,0.26666666666666666,0.14705882352941177,0.042935856,0.24390243902439024,0.15384615384615385,0.031025223,0.2573099415204678,0.11627906976744186,0.020683374,0.205761316872428,0.033047735618115054,0.00033041683,0.06390532544378698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regression_Baseline,random_forest_regressor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,-0.0689645355097428,1.6927795821112885,0.15310892908774423,2.865502713612869,784.491997055642,0.002115984006898215,-0.06891562979257615,49.98819618485598
