target,auc_pr,auc_roc,threshold_dollar,precision_at_50,threshold_at_50,f1_at_50,accuracy_at_50,precision_at_70,threshold_at_70,f1_at_70,accuracy_at_70,precision_at_80,threshold_at_80,f1_at_80,accuracy_at_80,precision_at_90,threshold_at_90,f1_at_90,accuracy_at_90,precision_at_95,threshold_at_95,f1_at_95,accuracy_at_95
will_spend,0.31025374399236744,0.7622480816257695,0.01,0.232,0.3597564054785758,0.31521739130434784,0.8096676737160121,0.1607843137254902,0.032519266208333585,0.2611464968152866,0.649546827794562,0.14641744548286603,0.009925222037027037,0.24736842105263157,0.56797583081571,0.1424731182795699,0.003201017302040396,0.2459396751740139,0.5090634441087614,0.10789980732177264,0.0006477692881858723,0.19377162629757785,0.29607250755287007
low_spender,0.35762665078093697,0.7958034565177422,0.0040999999999999995,0.29365079365079366,0.4302336433836463,0.37,0.8096676737160121,0.23008849557522124,0.20135390845543666,0.3466666666666667,0.7039274924471299,0.23228346456692914,0.10446075780882025,0.3597560975609756,0.6827794561933535,0.22483221476510068,0.033709787786516364,0.3602150537634409,0.6404833836858006,0.14613778705636743,0.0021937844279709415,0.25316455696202533,0.37613293051359514
medium_spender,0.16779930047451777,0.7903296703296703,0.064,0.09848484848484848,0.054963280369058544,0.16560509554140126,0.8021148036253777,0.10303030303030303,0.010276851602458874,0.17894736842105263,0.7643504531722054,0.10989010989010989,0.004431760868568972,0.1932367149758454,0.7477341389728097,0.053488372093023255,0.0003938745217388462,0.1010989010989011,0.3821752265861027,0.03940886699507389,5.844958222228182e-06,0.07570977917981073,0.1148036253776435
high_spender,0.06068800411791019,0.7552147239263803,0.26649999999999996,0.054945054945054944,0.002847786594885459,0.09900990099009901,0.8625377643504532,0.037037037037037035,0.0006412372155467188,0.07035175879396985,0.7205438066465257,0.015503875968992248,7.575364076096882e-06,0.030418250950570342,0.229607250755287,0.016981132075471698,5.018762425086129e-06,0.03333333333333333,0.21148036253776434,0.016981132075471698,5.018762425086129e-06,0.03333333333333333,0.21148036253776434
