Model,AUC_PR,AUC_ROC,Precision_at_90_Recall,F1_at_90_Recall,Threshold_at_90_Recall,Threshold_Dollar
Will Spend,0.3146169134676972,0.7655086151165079,0.150997150997151,0.25853658536585367,0.0035661680166931865,0.01
Low Spender,0.40366374125183485,0.8024797756940614,0.1675,0.28270042194092826,0.01647839750248062,0.0040999999999999995
Medium Spender,0.22561278851936303,0.7807535321821036,0.04590818363273453,0.08745247148288973,6.526674227025364e-05,0.064
High Spender,0.1265717616588233,0.8187883435582822,0.0196078431372549,0.03837953091684435,1.360886777256008e-05,0.2665
