,player_id,total_sessions,total_events,total_revenue,purchase_events,first_country,days_since_first_session,ltv_target,will_pay_in_future,historical_payer
526,435c4e9d-6fd0-4d97-baab-6c9a48156381,1,1,0.0,0,IN,65,0.0,0,0
527,55B7996A4C580FEF,3,9,0.0,0,JP,65,0.0,0,0
528,F6C979DEA5DC8BE3,1,1,0.0,0,US,64,0.0,0,0
529,DEF1227E4B6DE498,1,2,0.0,0,US,65,0.0,0,0
530,F5128F6FAD21361E,1,3,0.0,0,US,64,0.0,0,0
531,228A5970321FE590,1,4,0.0,0,PH,64,0.0,0,0
532,1E9DD37D364997FA,4,26,0.0588,8,GB,65,0.0,0,1
533,ac127abc-8641-4ddd-98a0-955e9bb72fee,1,1,0.0,0,VE,65,0.0,0,0
534,d3c81833-ac26-4f20-9c0c-7c4da64009f4,14,104,0.0,0,PH,64,0.0,0,0
535,8aa10698-0244-49e9-bdd4-1ef91861f088,1,1,0.0,0,PY,65,0.0,0,0
536,45C7EBFAD543D081,1,20,0.0,0,EG,63,0.0,0,0
537,ED8D288FE1E7D33D,1,2,0.0002,1,CA,65,0.0,0,1
538,DDD5203D08CBD2E0,1,19,0.0035,3,IQ,65,0.0,0,1
539,25C01D3BFF4F15A2,1,4,0.0,0,LY,64,0.0,0,0
540,E8FA19572BA2D865,1,15,0.1082,2,SG,65,0.0,0,1
541,5F305192B3232960,2,8,0.0,0,US,64,0.0,0,0
542,BBC9F5A9FBADF354,6,35,0.0023,1,IN,65,0.0,0,1
543,7A5F0F6DACFAEE67,1,4,0.0,0,NZ,63,0.0,0,0
544,736E382D99F29CC6,1,2,0.0,0,US,63,0.0,0,0
545,FD8C5DD624FE77A1,2,93,0.18630000000000002,28,US,63,0.0,0,1
546,5C7613E165970F7A,1,10,0.0178,2,US,63,0.0,0,1
547,F0CC5866E09F81ED,1,12,0.0,0,DZ,65,0.0,0,0
548,3174DD303919250D,2,34,0.0006,2,IQ,64,0.0,0,1
549,9B54F0E5F27FE3E2,3,17,0.006900000000000001,7,PK,65,0.0,0,1
550,62FF3DA55EA79EFA,2,41,0.004300000000000001,15,BO,65,0.0,0,1
551,7BF645B07B242600,1,8,0.0129,2,MY,64,0.0,0,1
552,D6757F9804DFF2BD,2,5,0.0,0,US,64,0.0,0,0
553,735550153730C0E,2,2,0.0,0,KH,65,0.0,0,0
554,F890CF307EA9C2A5,3,19,0.0031999999999999997,5,KR,65,0.0,0,1
555,63EAC81A439FD9DF,1,4,0.0,0,JM,63,0.0,0,0
556,5B368CC34E21C0F,1,2,0.0,0,US,63,0.0,0,0
557,CB9B4629E0C2CF90,1,1,0.0,0,DE,64,0.0,0,0
558,93089a03-02c8-4561-87ff-1642c96a96f5,2,2,0.0,0,MX,63,0.0,0,0
559,950AB261889BC6E4,3,4,0.0,0,US,65,0.0,0,0
560,bbad57eb-dd80-4be4-bbd1-f7415bfe09da,8,49,0.0,0,GB,63,0.0,0,0
561,dbcdb185-d48b-46ab-ac7e-0a0bcb2f7d18,1,1,0.0,0,DZ,63,0.0,0,0
